Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Lorong Pisang Raja, Singapore",3,02-04-18,"1.3430639, 103.7727867",Clementi ,23.6,14.6,21.4,23.6,—,—,—,5.8,31.7
"Lorong Pisang Udang, Singapore",1,02-04-18,"1.3433911, 103.7720538",Bukit Panjang ,3.6,2.2,2.8,3.4,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,02-04-18,"1.3447663, 103.7728106",Bukit Panjang ,3.6,2.2,2.8,3.4,—,—,—,—,—
"Woodlands Crescent (Blk 787B), Singapore",2,02-04-18,"1.4442589, 103.8009330",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Woodlands Crescent (Blk 787C), Singapore",7,02-04-18,"1.4448456, 103.8010235",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Woodlands Crescent (Blk 787D), Singapore",2,02-04-18,"1.4454474, 103.8016348",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Woodlands Crescent (Blk 787E), Singapore",1,02-04-18,"1.4448377, 103.8022913",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Woodlands Crescent (Blk 788B), Singapore",2,02-04-18,"1.4438901, 103.8012046",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Woodlands Drive 60 (Blk 786C), Singapore",1,02-04-18,"1.4458899, 103.8013178",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Woodlands Drive 60 (Blk 786F), Singapore",2,02-04-18,"1.4463735, 103.8002765",Admiralty ,0.2,0.2,0.2,0.2,28.1,32.5,25.5,9.7,34.6
"Eng Kong Terrace, Singapore",5,02-04-18,"1.3365850, 103.7695001",Clementi ,23.6,14.6,21.4,23.6,—,—,—,5.8,31.7
"Lorong Kismis (Kismis View), Singapore",1,02-04-18,"1.3390044, 103.7717721",Clementi ,23.6,14.6,21.4,23.6,—,—,—,5.8,31.7
"Toh Yi Drive, Singapore",2,02-04-18,"1.3380803, 103.7716335",Clementi ,23.6,14.6,21.4,23.6,—,—,—,5.8,31.7
"Toh Yi Road, Singapore",5,02-04-18,"1.3376793, 103.7710754",Clementi ,23.6,14.6,21.4,23.6,—,—,—,5.8,31.7
"Eastwood Drive, Singapore",7,02-04-18,"1.3233243, 103.9557363",Simei ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Jalan Greja, Singapore",1,02-04-18,"1.3237034, 103.9550755",Simei ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Bedok Reservoir Road (Blk 135), Singapore",1,02-04-18,"1.3331404, 103.9122693",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",1,02-04-18,"1.3335538, 103.9135607",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 139), Singapore",1,02-04-18,"1.3345066, 103.9137344",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 142), Singapore",1,02-04-18,"1.3357141, 103.9132888",Chai Chee ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 544), Singapore",1,02-04-18,"1.3689965, 103.9521514",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 553), Singapore",1,02-04-18,"1.3680413, 103.9526953",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Elias Road (Blk 614), Singapore",1,02-04-18,"1.3758527, 103.9414772",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Drive 1 (Blk 637), Singapore",2,02-04-18,"1.3767387, 103.9402988",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Bukit Batok Street 11 (Blk 141), Singapore",1,02-04-18,"1.3503017, 103.7433564",Jurong (North) ,18.4,11.8,16.4,18.2,—,—,—,—,—
"Bukit Batok West Avenue 6 (Blk 136), Singapore",1,02-04-18,"1.3508789, 103.7448952",Jurong (North) ,18.4,11.8,16.4,18.2,—,—,—,—,—
"Farrer Road (Gallop Gables), Singapore",1,02-04-18,"1.3162577, 103.8069439",Botanic Garden ,2,1.6,1.6,1.8,—,—,—,—,—
"Woollerton Park (Woollerton Park), Singapore",1,02-04-18,"1.3174528, 103.8091157",Botanic Garden ,2,1.6,1.6,1.8,—,—,—,—,—
"Punggol Drive (Blk 663A), Singapore",1,02-04-18,"1.4004133, 103.9176164",Punggol ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Punggol Drive (Blk 664A), Singapore",1,02-04-18,"1.3995531, 103.9174911",Punggol ,0.2,0.2,0.2,0.2,—,—,—,—,—
"Redhill Close (Blk 68), Singapore",1,02-04-18,"1.2868666, 103.8160563",Queenstown ,0.6,0.6,0.6,0.6,—,—,—,—,—
"Redhill Close (Blk 70), Singapore",1,02-04-18,"1.2869521, 103.8170676",Queenstown ,0.6,0.6,0.6,0.6,—,—,—,—,—
"Riverina View, Singapore",2,02-04-18,"1.3790386, 103.9454863",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 662), Singapore",2,06-04-18,"1.3346997, 103.9083723",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 665), Singapore",3,06-04-18,"1.3341158, 103.9081004",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 667), Singapore",1,06-04-18,"1.3338199, 103.9086442",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 645), Singapore",1,06-04-18,"1.3317186, 103.9067500",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 648), Singapore",1,06-04-18,"1.3321310, 103.9058750",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 649), Singapore",3,06-04-18,"1.3323350, 103.9060226",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 650), Singapore",1,06-04-18,"1.3319051, 103.9075794",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 655), Singapore",3,06-04-18,"1.3333365, 103.9068090",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 656), Singapore",3,06-04-18,"1.3338262, 103.9075567",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 657), Singapore",2,06-04-18,"1.3339562, 103.9072169",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 658), Singapore",14,06-04-18,"1.3336872, 103.9062880",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 660), Singapore",1,06-04-18,"1.3344959, 103.9068372",Chai Chee ,0,0,0,0,—,—,—,—,—
"Kaki Bukit Crescent, Singapore",2,06-04-18,"1.3361646, 103.9072036",Chai Chee ,0,0,0,0,—,—,—,—,—
"Kaki Bukit Road 3, Singapore",1,06-04-18,"1.3366588, 103.9041606",Chai Chee ,0,0,0,0,—,—,—,—,—
"Woodlands Circle (Blk 726), Singapore",2,06-04-18,"1.4441204, 103.7995747",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 728), Singapore",1,06-04-18,"1.4429412, 103.7989657",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 729), Singapore",1,06-04-18,"1.4425116, 103.7985786",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 730), Singapore",2,06-04-18,"1.4425118, 103.7978422",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 733), Singapore",10,06-04-18,"1.4436850, 103.7987597",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 734), Singapore",1,06-04-18,"1.4439831, 103.7980353",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 735), Singapore",2,06-04-18,"1.4434015, 103.7971298",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 737), Singapore",5,06-04-18,"1.4436424, 103.7967449",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Circle (Blk 738), Singapore",6,06-04-18,"1.4442067, 103.7974920",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Chun Tin Road, Singapore",1,06-04-18,"1.3419378, 103.7738584",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Jalan Jurong Kechil, Singapore",1,06-04-18,"1.3429015, 103.7704492",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Lorong Pisang Asam, Singapore",8,06-04-18,"1.3436314, 103.7727481",Bukit Panjang ,1.4,1.4,1.4,1.4,—,—,—,—,—
"Lorong Pisang Emas, Singapore",6,06-04-18,"1.3439384, 103.7715726",Bukit Panjang ,1.4,1.4,1.4,1.4,—,—,—,—,—
"Lorong Pisang Hijau, Singapore",2,06-04-18,"1.3442145, 103.7727925",Bukit Panjang ,1.4,1.4,1.4,1.4,—,—,—,—,—
"Lorong Pisang Raja, Singapore",3,06-04-18,"1.3430639, 103.7727867",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Lorong Pisang Udang, Singapore",1,06-04-18,"1.3433911, 103.7720538",Bukit Panjang ,1.4,1.4,1.4,1.4,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,06-04-18,"1.3447663, 103.7728106",Bukit Panjang ,1.4,1.4,1.4,1.4,—,—,—,—,—
"Woodlands Crescent (Blk 787B), Singapore",2,06-04-18,"1.4442589, 103.8009330",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Crescent (Blk 787C), Singapore",7,06-04-18,"1.4448456, 103.8010235",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Crescent (Blk 787D), Singapore",2,06-04-18,"1.4454474, 103.8016348",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Crescent (Blk 787E), Singapore",1,06-04-18,"1.4448377, 103.8022913",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Crescent (Blk 788C), Singapore",1,06-04-18,"1.4438487, 103.8019743",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Drive 60 (Blk 786C), Singapore",1,06-04-18,"1.4462100, 103.8002999",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Woodlands Drive 60 (Blk 786F), Singapore",2,06-04-18,"1.4463735, 103.8002765",Admiralty ,0,0,0,0,28.1,33.3,25.2,10.1,34.6
"Eng Kong Terrace, Singapore",6,06-04-18,"1.3365850, 103.7695001",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Lorong Kismis (Kismis View), Singapore",1,06-04-18,"1.3390044, 103.7717721",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Toh Yi Drive, Singapore",2,06-04-18,"1.3380803, 103.7716335",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Toh Yi Road, Singapore",6,06-04-18,"1.3376793, 103.7710754",Clementi ,0,0,0,0,28.2,33.1,25.4,5,21.6
"Eastwood Drive, Singapore",7,06-04-18,"1.3233243, 103.9557363",Simei ,0,0,0,0,—,—,—,—,—
"Jalan Greja, Singapore",1,06-04-18,"1.3237034, 103.9550755",Simei ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 135), Singapore",1,06-04-18,"1.3331404, 103.9122693",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",1,06-04-18,"1.3335538, 103.9135607",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 139), Singapore",2,06-04-18,"1.3345066, 103.9137344",Chai Chee ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 541), Singapore",2,06-04-18,"1.3693135, 103.9511768",Pasir Ris (Central) ,2.6,2.6,2.6,2.6,—,—,—,—,—
"Pasir Ris Street 51 (Blk 544), Singapore",1,06-04-18,"1.3689965, 103.9521514",Pasir Ris (Central) ,2.6,2.6,2.6,2.6,—,—,—,—,—
"Pasir Ris Street 51 (Blk 553), Singapore",1,06-04-18,"1.3680413, 103.9526953",Pasir Ris (Central) ,2.6,2.6,2.6,2.6,—,—,—,—,—
"Elias Road (Blk 614), Singapore",1,06-04-18,"1.3758527, 103.9414772",Pasir Ris (Central) ,2.6,2.6,2.6,2.6,—,—,—,—,—
"Pasir Ris Drive 1 (Blk 637), Singapore",2,06-04-18,"1.3767387, 103.9402988",Pasir Ris (Central) ,2.6,2.6,2.6,2.6,—,—,—,—,—
"Bukit Batok Street 11 (Blk 141), Singapore",1,06-04-18,"1.3503017, 103.7433564",Jurong (North) ,17,13.8,17,17,—,—,—,—,—
"Bukit Batok West Avenue 6 (Blk 136), Singapore",1,06-04-18,"1.3508789, 103.7448952",Jurong (North) ,17,13.8,17,17,—,—,—,—,—
"Farrer Road (Gallop Gables), Singapore",1,06-04-18,"1.3162577, 103.8069439",Botanic Garden ,0,0,0,0,—,—,—,—,—
"Hougang Street 91 (Blk 909), Singapore",1,06-04-18,"1.3785349, 103.8824133",Buangkok ,0,0,0,0,—,—,—,—,—
"Hougang Street 91 (Blk 915), Singapore",1,06-04-18,"1.3775517, 103.8837018",Buangkok ,0,0,0,0,—,—,—,—,—
"Nallur Road, Singapore",2,06-04-18,"1.3123104, 103.9321836",East Coast Parkway ,0,0,0,0,28.6,31.4,26.9,11.2,33.5
"Punggol Drive (Blk 663A), Singapore",1,06-04-18,"1.4004133, 103.9176164",Punggol ,0,0,0,0,—,—,—,—,—
"Punggol Drive (Blk 664A), Singapore",1,06-04-18,"1.3995531, 103.9174911",Punggol ,0,0,0,0,—,—,—,—,—
"Redhill Close (Blk 68), Singapore",1,06-04-18,"1.2868666, 103.8160563",Queenstown ,0,0,0,0,—,—,—,—,—
"Redhill Close (Blk 70), Singapore",1,06-04-18,"1.2869521, 103.8170676",Queenstown ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 662), Singapore",2,09-04-18,"1.3346997, 103.9083723",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 665), Singapore",3,09-04-18,"1.3341158, 103.9081004",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 667), Singapore",1,09-04-18,"1.3338199, 103.9086442",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 645), Singapore",1,09-04-18,"1.3317186, 103.9067500",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 648), Singapore",2,09-04-18,"1.3321310, 103.9058750",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 649), Singapore",4,09-04-18,"1.3323350, 103.9060226",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 650), Singapore",1,09-04-18,"1.3319051, 103.9075794",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 655), Singapore",3,09-04-18,"1.3333365, 103.9068090",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 656), Singapore",3,09-04-18,"1.3338262, 103.9075567",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 657), Singapore",2,09-04-18,"1.3339562, 103.9072169",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 658), Singapore",14,09-04-18,"1.3336872, 103.9062880",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 660), Singapore",1,09-04-18,"1.3344959, 103.9068372",Chai Chee ,0,0,0,0,—,—,—,—,—
"Kaki Bukit Crescent, Singapore",2,09-04-18,"1.3361646, 103.9072036",Chai Chee ,0,0,0,0,—,—,—,—,—
"Kaki Bukit Road 3, Singapore",1,09-04-18,"1.3366588, 103.9041606",Chai Chee ,0,0,0,0,—,—,—,—,—
"Woodlands Circle (Blk 726), Singapore",2,09-04-18,"1.4441204, 103.7995747",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 728), Singapore",1,09-04-18,"1.4429412, 103.7989657",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 729), Singapore",1,09-04-18,"1.4425116, 103.7985786",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 730), Singapore",2,09-04-18,"1.4425118, 103.7978422",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 733), Singapore",10,09-04-18,"1.4436850, 103.7987597",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 734), Singapore",1,09-04-18,"1.4439831, 103.7980353",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 735), Singapore",3,09-04-18,"1.4434015, 103.7971298",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 737), Singapore",6,09-04-18,"1.4436424, 103.7967449",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 738), Singapore",7,09-04-18,"1.4442067, 103.7974920",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Circle (Blk 739), Singapore",2,09-04-18,"1.4440644, 103.7967676",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Chun Tin Road, Singapore",1,09-04-18,"1.3419378, 103.7738584",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Jalan Jurong Kechil, Singapore",1,09-04-18,"1.3429015, 103.7704492",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Lorong Pisang Asam, Singapore",6,09-04-18,"1.3436314, 103.7727481",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Lorong Pisang Emas, Singapore",10,09-04-18,"1.3439384, 103.7715726",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Lorong Pisang Hijau, Singapore",2,09-04-18,"1.3442145, 103.7727925",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Lorong Pisang Raja, Singapore",3,09-04-18,"1.3430639, 103.7727867",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Lorong Pisang Udang, Singapore",2,09-04-18,"1.3433911, 103.7720538",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Yuk Tong Avenue, Singapore",1,09-04-18,"1.3447663, 103.7728106",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Eastwood Drive, Singapore",14,09-04-18,"1.3233243, 103.9557363",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Green, Singapore",1,09-04-18,"1.3222849, 103.9548450",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Place, Singapore",1,09-04-18,"1.3221148, 103.9562737",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Terrace, Singapore",1,09-04-18,"1.3218063, 103.9569024",Simei ,0,0,0,0,—,—,—,—,—
"Eastwood Way, Singapore",1,09-04-18,"1.3229592, 103.9573462",Simei ,0,0,0,0,—,—,—,—,—
"Cheng Soon Crescent, Singapore",1,09-04-18,"1.3363084, 103.7725246",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Eng Kong Terrace, Singapore",6,09-04-18,"1.3365850, 103.7695001",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Lorong Kismis (Kismis View), Singapore",1,09-04-18,"1.3390044, 103.7717721",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Toh Yi Drive, Singapore",2,09-04-18,"1.3380803, 103.7716335",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Toh Yi Road, Singapore",7,09-04-18,"1.3376793, 103.7710754",Clementi ,0.2,0.2,0.2,0.2,28.4,33.2,26,8.3,41.4
"Bedok Reservoir Road (Blk 135), Singapore",1,09-04-18,"1.3331404, 103.9122693",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 136), Singapore",3,09-04-18,"1.3335538, 103.9135607",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 137), Singapore",1,09-04-18,"1.3337227, 103.9128130",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 139), Singapore",3,09-04-18,"1.3345066, 103.9137344",Chai Chee ,0,0,0,0,—,—,—,—,—
"Bedok Reservoir Road (Blk 142), Singapore",1,09-04-18,"1.3357141, 103.9132888",Chai Chee ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 541), Singapore",3,09-04-18,"1.3693135, 103.9511768",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 544), Singapore",1,09-04-18,"1.3689965, 103.9521514",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Pasir Ris Street 51 (Blk 553), Singapore",1,09-04-18,"1.3680413, 103.9526953",Pasir Ris (Central) ,0,0,0,0,—,—,—,—,—
"Choa Chu Kang Street 51 (Blk 504), Singapore",1,09-04-18,"1.3891451, 103.7426289",Choa Chu Kang (South) ,0,0,0,0,28.6,32.6,26.4,9.4,34.9
"Choa Chu Kang Street 51 (Blk 513), Singapore",1,09-04-18,"1.3897874, 103.7425158",Choa Chu Kang (South) ,0,0,0,0,28.6,32.6,26.4,9.4,34.9
"Gangsa Road (Blk 153), Singapore",1,09-04-18,"1.3750816, 103.7653500",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Gangsa Road (Blk 154), Singapore",1,09-04-18,"1.3748817, 103.7650558",Bukit Panjang ,0,0,0,0,—,—,—,—,—
"Goldhill Avenue, Singapore",1,09-04-18,"1.3207212, 103.8329972",Newton ,0,0,0,0,28.3,32,26.5,7.6,39.6
"Goldhill Drive, Singapore",1,09-04-18,"1.3209825, 103.8323938",Newton ,0,0,0,0,28.3,32,26.5,7.6,39.6
"Hougang Street 91 (Blk 915), Singapore",1,09-04-18,"1.3775517, 103.8837018",Buangkok ,0,0,0,0,—,—,—,—,—
"Woo Mon Chew Road, Singapore",2,09-04-18,"1.3153401, 103.9294957",Chai Chee ,0,0,0,0,—,—,—,—,—
"Woodlands Avenue 4 (Blk 610), Singapore",1,09-04-18,"1.4353872, 103.7963374",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Woodlands Drive 50 (Blk 899B), Singapore",1,09-04-18,"1.4361452, 103.7954093",Admiralty ,0,0,0,0,28.3,31.9,26.1,16.6,46.8
"Yishun Street 22 (Blk 262), Singapore",1,09-04-18,"1.4358023, 103.8391521",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 22 (Blk 269A), Singapore",1,09-04-18,"1.4368285, 103.8409733",Yishun ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 662), Singapore",2,13-04-18,"1.3346997, 103.9083723",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 665), Singapore",3,13-04-18,"1.3341158, 103.9081004",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Damai (Blk 667), Singapore",1,13-04-18,"1.3338199, 103.9086442",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 645), Singapore",1,13-04-18,"1.3317186, 103.9067500",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 648), Singapore",2,13-04-18,"1.3321310, 103.9058750",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 649), Singapore",4,13-04-18,"1.3323350, 103.9060226",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 650), Singapore",1,13-04-18,"1.3319051, 103.9075794",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 655), Singapore",3,13-04-18,"1.3333365, 103.9068090",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 656), Singapore",3,13-04-18,"1.3338262, 103.9075567",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 657), Singapore",2,13-04-18,"1.3339562, 103.9072169",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 658), Singapore",14,13-04-18,"1.3336872, 103.9062880",Chai Chee ,0,0,0,0,—,—,—,—,—
"Jalan Tenaga (Blk 660), Singapore",1,13-04-18,"1.3344959, 103.9068372",Chai Chee ,0,0,0,0,—,—,—,—,—
"Kaki Bukit Crescent, Singapore",2,13-04-18,"1.3361646, 103.9072036",Chai Chee ,0,0,0,0,—,—,—,—,—
"Kaki Bukit Road 3, Singapore",1,13-04-18,"1.3366588, 103.9041606",Chai Chee ,0,0,0,0,—,—,—,—,—
"Woodlands Circle (Blk 726), Singapore",2,13-04-18,"1.4441204, 103.7995747",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 728), Singapore",1,13-04-18,"1.4429412, 103.7989657",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 729), Singapore",1,13-04-18,"1.4425116, 103.7985786",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 730), Singapore",2,13-04-18,"1.4425118, 103.7978422",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 733), Singapore",10,13-04-18,"1.4436850, 103.7987597",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 734), Singapore",1,13-04-18,"1.4439831, 103.7980353",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 735), Singapore",3,13-04-18,"1.4434015, 103.7971298",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 737), Singapore",6,13-04-18,"1.4436424, 103.7967449",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 738), Singapore",7,13-04-18,"1.4442067, 103.7974920",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Woodlands Circle (Blk 739), Singapore",2,13-04-18,"1.4440644, 103.7967676",Admiralty ,0,0,0,0,29.1,33.3,26.7,13.7,43.2
"Chun Tin Road, Singapore",1,13-04-18,"1.3419378, 103.7738584",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Jalan Jurong Kechil, Singapore",1,13-04-18,"1.3429015, 103.7704492",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
"Lorong Pisang Asam, Singapore",6,13-04-18,"1.3436314, 103.7727481",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Lorong Pisang Emas, Singapore",10,13-04-18,"1.3439384, 103.7715726",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Lorong Pisang Hijau, Singapore",2,13-04-18,"1.3442145, 103.7727925",Bukit Panjang ,0.6,0.4,0.6,0.6,—,—,—,—,—
"Lorong Pisang Raja, Singapore",3,13-04-18,"1.3430639, 103.7727867",Clementi ,0,0,0,0,29.1,34.6,26.4,6.5,34.2
